,name,search_name,country,feature_class,lat,long,latitude,longitude
0,Ciudad del Este,Alto Paraná,Paraguay,seat of a first-order administrative division,S 25° 30′ 12'',W 54° 39′ 2'',-25.5033333333333,-54.6505555555556
1,Alto Paraná Department,Alto Paraná,Paraguay,first-order administrative division,S 25° 30′ 0'',W 54° 50′ 0'',-25.5,-54.8333333333333
2,Presidente Franco,Alto Paraná,Paraguay,populated place,S 25° 33′ 49'',W 54° 36′ 39'',-25.5636111111111,-54.6108333333333
3,Santa Fe Del Parana,Alto Paraná,Paraguay,second-order administrative division,S 25° 11′ 20'',W 54° 37′ 42'',-25.1888888888889,-54.6283333333333
4,Guaraní International Airport,Alto Paraná,Paraguay,airport,S 25° 27′ 19'',W 54° 50′ 36'',-25.4552777777778,-54.8433333333333
5,Mbaracayu,Alto Paraná,Paraguay,second-order administrative division,S 25° 0′ 55'',W 54° 41′ 20'',-25.0152777777778,-54.6888888888889
6,Santa Rita,Alto Paraná,Paraguay,second-order administrative division,S 25° 46′ 28'',W 55° 8′ 9'',-25.7744444444444,-55.1358333333333
7,Yguazu,Alto Paraná,Paraguay,second-order administrative division,S 25° 25′ 4'',W 55° 6′ 0'',-25.4177777777778,-55.1
8,Naranjal,Alto Paraná,Paraguay,second-order administrative division,S 25° 57′ 23'',W 55° 12′ 12'',-25.9563888888889,-55.2033333333333
9,Tavapy,Alto Paraná,Paraguay,second-order administrative division,S 25° 37′ 28'',W 55° 4′ 17'',-25.6244444444444,-55.0713888888889
10,San Cristobal,Alto Paraná,Paraguay,second-order administrative division,S 25° 47′ 0'',W 55° 23′ 5'',-25.7833333333333,-55.3847222222222
11,Iruña,Alto Paraná,Paraguay,second-order administrative division,S 26° 7′ 58'',W 55° 2′ 0'',-26.1327777777778,-55.0333333333333
12,Itakyry,Alto Paraná,Paraguay,second-order administrative division,S 24° 48′ 51'',W 55° 9′ 9'',-24.8141666666667,-55.1525
13,Ñacunday,Alto Paraná,Paraguay,second-order administrative division,S 26° 4′ 10'',W 54° 46′ 53'',-26.0694444444444,-54.7813888888889
14,Hernandarias,Alto Paraná,Paraguay,second-order administrative division,S 25° 18′ 54'',W 54° 46′ 40'',-25.315,-54.7777777777778
15,Minga Pora District,Alto Paraná,Paraguay,second-order administrative division,S 24° 52′ 0'',W 54° 55′ 0'',-24.8666666666667,-54.9166666666667
16,Domingo Martinez De Irala,Alto Paraná,Paraguay,second-order administrative division,S 25° 51′ 29'',W 54° 41′ 24'',-25.8580555555556,-54.69
17,Los Cedrales District,Alto Paraná,Paraguay,second-order administrative division,S 25° 41′ 9'',W 54° 45′ 4'',-25.6858333333333,-54.7511111111111
18,San Alberto,Alto Paraná,Paraguay,second-order administrative division,S 24° 58′ 33'',W 54° 54′ 22'',-24.9758333333333,-54.9061111111111
19,Dr. Raul Peña,Alto Paraná,Paraguay,second-order administrative division,S 26° 8′ 5'',W 55° 13′ 29'',-26.1347222222222,-55.2247222222222
20,Presidente Franco,Alto Paraná,Paraguay,second-order administrative division,S 25° 35′ 48'',W 54° 38′ 29'',-25.5966666666667,-54.6413888888889
21,Juan E. O´Leary,Alto Paraná,Paraguay,second-order administrative division,S 25° 28′ 48'',W 55° 21′ 54'',-25.48,-55.365
22,Ciudad Del Este,Alto Paraná,Paraguay,second-order administrative division,S 25° 29′ 52'',W 54° 40′ 47'',-25.4977777777778,-54.6797222222222
23,Minga Guazu,Alto Paraná,Paraguay,second-order administrative division,S 25° 30′ 12'',W 54° 50′ 29'',-25.5033333333333,-54.8413888888889
24,Santa Rosa Del Monday,Alto Paraná,Paraguay,second-order administrative division,S 25° 50′ 44'',W 54° 55′ 23'',-25.8455555555556,-54.9230555555556
25,Dr. Juan Leon Mallorquin,Alto Paraná,Paraguay,second-order administrative division,S 25° 29′ 1'',W 55° 15′ 16'',-25.4836111111111,-55.2544444444444
26,Itakyry,Alto Paraná,Paraguay,populated place,S 24° 59′ 2'',W 55° 8′ 57'',-24.9838888888889,-55.1491666666667
27,Yguazú,Alto Paraná,Paraguay,populated place,S 25° 27′ 39'',W 55° 0′ 17'',-25.4608333333333,-55.0047222222222
28,Doctor Juan León Mallorquín,Alto Paraná,Paraguay,populated place,S 25° 25′ 49'',W 55° 15′ 14'',-25.4302777777778,-55.2538888888889
29,Ypecuarujhá,Alto Paraná,Paraguay,locality,S 24° 19′ 0'',W 54° 50′ 0'',-24.3166666666667,-54.8333333333333
30,Ryguazú,Alto Paraná,Paraguay,area,S 24° 46′ 0'',W 55° 12′ 0'',-24.7666666666667,-55.2
31,Península,Alto Paraná,Paraguay,locality,S 25° 39′ 21'',W 54° 35′ 54'',-25.6558333333333,-54.5983333333333
32,Colonia Yguazú,Alto Paraná,Paraguay,area,S 25° 27′ 6'',W 55° 5′ 3'',-25.4516666666667,-55.0841666666667
33,Cabayú Acangué,Alto Paraná,Paraguay,locality,S 25° 5′ 59'',W 54° 55′ 0'',-25.0997222222222,-54.9166666666667
34,Agrícola Itabó,Alto Paraná,Paraguay,locality,S 25° 2′ 2'',W 54° 30′ 29'',-25.0338888888889,-54.5080555555556
35,San Alberto,Alto Paraná,Paraguay,seat of a second-order administrative division,S 24° 58′ 0'',W 54° 54′ 0'',-24.9666666666667,-54.9
36,Ñacunday,Alto Paraná,Paraguay,populated place,S 26° 1′ 0'',W 54° 46′ 0'',-26.0166666666667,-54.7666666666667
37,Minga Guazú,Alto Paraná,Paraguay,populated place,S 25° 28′ 55'',W 54° 45′ 43'',-25.4819444444444,-54.7619444444444
38,Minga Porá,Alto Paraná,Paraguay,populated place,S 24° 52′ 31'',W 54° 56′ 2'',-24.8752777777778,-54.9338888888889
39,Juan Emiliano O’Leary,Alto Paraná,Paraguay,populated place,S 25° 25′ 11'',W 55° 22′ 23'',-25.4197222222222,-55.3730555555556
40,Domingo Martínez de Irala,Alto Paraná,Paraguay,populated place,S 25° 54′ 39'',W 54° 37′ 41'',-25.9108333333333,-54.6280555555556
41,Planchada Timbo,Alto Paraná,Paraguay,locality,S 25° 11′ 38'',W 54° 47′ 32'',-25.1938888888889,-54.7922222222222
42,Colonia Paraguasil,Alto Paraná,Paraguay,locality,S 25° 12′ 46'',W 54° 34′ 48'',-25.2127777777778,-54.58
43,Carreria Petroinna,Alto Paraná,Paraguay,locality,S 25° 12′ 34'',W 54° 46′ 7'',-25.2094444444444,-54.7686111111111
44,Glebas Cinco,Alto Paraná,Paraguay,locality,S 25° 8′ 18'',W 54° 37′ 5'',-25.1383333333333,-54.6180555555556
45,Puerto Palma,Alto Paraná,Paraguay,locality,S 25° 18′ 51'',W 54° 31′ 52'',-25.3141666666667,-54.5311111111111
46,Dos Hermanas,Alto Paraná,Paraguay,locality,S 25° 15′ 56'',W 54° 31′ 51'',-25.2655555555556,-54.5308333333333
47,Santa Fe del Paraná,Alto Paraná,Paraguay,populated place,S 25° 13′ 22'',W 54° 42′ 10'',-25.2227777777778,-54.7027777777778
48,Yacarecuá,Alto Paraná,Paraguay,locality,S 25° 41′ 0'',W 55° 15′ 0'',-25.6833333333333,-55.25
49,Villa Mercedes,Alto Paraná,Paraguay,area,S 25° 31′ 0'',W 55° 19′ 0'',-25.5166666666667,-55.3166666666667
50,Pedro Juan Caballero,Amambay,Paraguay,seat of a first-order administrative division,S 22° 32′ 57'',W 55° 44′ 19'',-22.5491666666667,-55.7386111111111
51,Amambay Department,Amambay,Paraguay,first-order administrative division,S 22° 50′ 0'',W 55° 57′ 0'',-22.8333333333333,-55.95
52,Dr Augusto Roberto Fuster International Airport,Amambay,Paraguay,airport,S 22° 38′ 24'',W 55° 49′ 48'',-22.64,-55.83
53,Capitan Bado,Amambay,Paraguay,second-order administrative division,S 23° 25′ 27'',W 55° 48′ 46'',-23.4241666666667,-55.8127777777778
54,Zanja Pyta,Amambay,Paraguay,second-order administrative division,S 22° 46′ 18'',W 55° 42′ 31'',-22.7716666666667,-55.7086111111111
55,Pedro Juan Caballero,Amambay,Paraguay,second-order administrative division,S 22° 47′ 34'',W 55° 59′ 0'',-22.7927777777778,-55.9833333333333
56,Bella Vista,Amambay,Paraguay,second-order administrative division,S 22° 28′ 15'',W 56° 27′ 17'',-22.4708333333333,-56.4547222222222
57,Capitán Bado,Amambay,Paraguay,populated place,S 23° 16′ 2'',W 55° 32′ 19'',-23.2672222222222,-55.5386111111111
58,Bella Vista,Amambay,Paraguay,populated place,S 22° 7′ 20'',W 56° 30′ 54'',-22.1222222222222,-56.515
59,Zanja Pytá,Amambay,Paraguay,populated place,S 22° 37′ 51'',W 55° 37′ 47'',-22.6308333333333,-55.6297222222222
60,Chingüelo,Amambay,Paraguay,populated place,S 22° 40′ 0'',W 55° 55′ 0'',-22.6666666666667,-55.9166666666667
61,Cerro Corá,Amambay,Paraguay,populated place,S 22° 37′ 0'',W 55° 59′ 0'',-22.6166666666667,-55.9833333333333
62,Cerro Corá,Amambay,Paraguay,hill,S 22° 40′ 0'',W 55° 59′ 0'',-22.6666666666667,-55.9833333333333
63,Fraccion Amambay,Amambay,Paraguay,third-order administrative division,S 22° 33′ 58'',W 55° 43′ 47'',-22.5661111111111,-55.7297222222222
64,Solares De Amambay,Amambay,Paraguay,third-order administrative division,S 22° 34′ 22'',W 55° 45′ 46'',-22.5727777777778,-55.7627777777778
65,Torín,Amambay,Paraguay,populated place,S 23° 32′ 0'',W 55° 33′ 0'',-23.5333333333333,-55.55
66,Cascada,Amambay,Paraguay,third-order administrative division,S 22° 27′ 57'',W 56° 11′ 48'',-22.4658333333333,-56.1966666666667
67,Kachimbo,Amambay,Paraguay,third-order administrative division,S 22° 30′ 19'',W 55° 56′ 39'',-22.5052777777778,-55.9441666666667
68,Guarani,Amambay,Paraguay,third-order administrative division,S 22° 32′ 42'',W 55° 44′ 24'',-22.545,-55.74
69,Obrero,Amambay,Paraguay,third-order administrative division,S 22° 7′ 0'',W 56° 30′ 38'',-22.1166666666667,-56.5105555555556
70,Ysoso,Amambay,Paraguay,third-order administrative division,S 23° 27′ 10'',W 55° 52′ 23'',-23.4527777777778,-55.8730555555556
71,Obrero,Amambay,Paraguay,third-order administrative division,S 23° 16′ 7'',W 55° 32′ 54'',-23.2686111111111,-55.5483333333333
72,Centro,Amambay,Paraguay,third-order administrative division,S 22° 6′ 58'',W 56° 31′ 4'',-22.1161111111111,-56.5177777777778
73,Potrerito,Amambay,Paraguay,third-order administrative division,S 23° 22′ 55'',W 55° 34′ 45'',-23.3819444444444,-55.5791666666667
74,Kurupayty,Amambay,Paraguay,third-order administrative division,S 23° 13′ 5'',W 55° 35′ 23'',-23.2180555555556,-55.5897222222222
75,Apa,Amambay,Paraguay,third-order administrative division,S 22° 7′ 12'',W 56° 31′ 14'',-22.12,-56.5205555555556
76,Menta,Amambay,Paraguay,third-order administrative division,S 23° 17′ 48'',W 55° 38′ 44'',-23.2966666666667,-55.6455555555556
77,Primavera,Amambay,Paraguay,third-order administrative division,S 23° 15′ 38'',W 55° 32′ 14'',-23.2605555555556,-55.5372222222222
78,Guillermina,Amambay,Paraguay,third-order administrative division,S 22° 29′ 31'',W 55° 45′ 59'',-22.4919444444444,-55.7663888888889
79,Chiriguelo,Amambay,Paraguay,third-order administrative division,S 22° 40′ 16'',W 55° 54′ 23'',-22.6711111111111,-55.9063888888889
80,Gasory,Amambay,Paraguay,third-order administrative division,S 22° 39′ 51'',W 56° 9′ 45'',-22.6641666666667,-56.1625
81,Obrero,Amambay,Paraguay,third-order administrative division,S 22° 34′ 6'',W 55° 44′ 38'',-22.5683333333333,-55.7438888888889
82,Santa Lucia,Amambay,Paraguay,third-order administrative division,S 22° 37′ 59'',W 55° 37′ 42'',-22.6330555555556,-55.6283333333333
83,Apami,Amambay,Paraguay,third-order administrative division,S 22° 9′ 58'',W 56° 30′ 21'',-22.1661111111111,-56.5058333333333
84,Piky,Amambay,Paraguay,third-order administrative division,S 22° 41′ 53'',W 56° 12′ 31'',-22.6980555555556,-56.2086111111111
85,Yvype,Amambay,Paraguay,third-order administrative division,S 22° 35′ 37'',W 55° 48′ 2'',-22.5936111111111,-55.8005555555556
86,Casualidad,Amambay,Paraguay,third-order administrative division,S 22° 33′ 49'',W 56° 25′ 38'',-22.5636111111111,-56.4272222222222
87,Aguara,Amambay,Paraguay,third-order administrative division,S 23° 21′ 13'',W 55° 44′ 24'',-23.3536111111111,-55.74
88,Guavira,Amambay,Paraguay,third-order administrative division,S 22° 45′ 51'',W 56° 8′ 6'',-22.7641666666667,-56.135
89,Fortuna,Amambay,Paraguay,third-order administrative division,S 22° 44′ 30'',W 55° 44′ 24'',-22.7416666666667,-55.74
90,Jaguarundi,Amambay,Paraguay,third-order administrative division,S 23° 37′ 11'',W 55° 39′ 43'',-23.6197222222222,-55.6619444444444
91,Rinconada,Amambay,Paraguay,third-order administrative division,S 22° 18′ 10'',W 56° 40′ 58'',-22.3027777777778,-56.6827777777778
92,Florida,Amambay,Paraguay,third-order administrative division,S 22° 37′ 52'',W 55° 37′ 53'',-22.6311111111111,-55.6313888888889
93,Republica,Amambay,Paraguay,third-order administrative division,S 22° 36′ 16'',W 55° 42′ 39'',-22.6044444444444,-55.7108333333333
94,Arroyito,Amambay,Paraguay,third-order administrative division,S 23° 20′ 37'',W 55° 51′ 12'',-23.3436111111111,-55.8533333333333
95,Umbu,Amambay,Paraguay,third-order administrative division,S 23° 15′ 51'',W 55° 42′ 45'',-23.2641666666667,-55.7125
96,Jaguary,Amambay,Paraguay,third-order administrative division,S 22° 59′ 56'',W 56° 7′ 19'',-22.9988888888889,-56.1219444444444
97,Colonia Costa Jhoby,Amambay,Paraguay,populated place,S 23° 19′ 0'',W 55° 35′ 0'',-23.3166666666667,-55.5833333333333
98,Com Indig Jasuka Venda Jerope,Amambay,Paraguay,third-order administrative division,S 23° 5′ 48'',W 55° 59′ 2'',-23.0966666666667,-55.9838888888889
99,Com Indig Arroyo Kaa,Amambay,Paraguay,third-order administrative division,S 22° 33′ 27'',W 56° 14′ 20'',-22.5575,-56.2388888888889
100,Salvador,Bahia,Brazil,seat of a first-order administrative division,S 12° 58′ 32'',W 38° 29′ 27'',-12.9755555555556,-38.4908333333333
101,Feira de Santana,Bahia,Brazil,populated place,S 12° 16′ 0'',W 38° 58′ 0'',-12.2666666666667,-38.9666666666667
102,Bahia,Bahia,Brazil,first-order administrative division,S 12° 0′ 0'',W 42° 0′ 0'',-12,-42
103,Alagoinhas,Bahia,Brazil,populated place,S 12° 8′ 8'',W 38° 25′ 9'',-12.1355555555556,-38.4191666666667
104,Camaçari,Bahia,Brazil,populated place,S 12° 41′ 51'',W 38° 19′ 27'',-12.6975,-38.3241666666667
105,Jequié,Bahia,Brazil,populated place,S 13° 51′ 31'',W 40° 5′ 6'',-13.8586111111111,-40.085
106,Itabuna,Bahia,Brazil,populated place,S 14° 47′ 8'',W 39° 16′ 49'',-14.7855555555556,-39.2802777777778
107,Ilhéus,Bahia,Brazil,populated place,S 14° 47′ 56'',W 39° 1′ 56'',-14.7988888888889,-39.0322222222222
108,Barreiras,Bahia,Brazil,populated place,S 12° 9′ 10'',W 44° 59′ 24'',-12.1527777777778,-44.99
109,Valença,Bahia,Brazil,populated place,S 13° 22′ 13'',W 39° 4′ 23'',-13.3702777777778,-39.0730555555556
110,Eunápolis,Bahia,Brazil,populated place,S 16° 22′ 39'',W 39° 34′ 49'',-16.3775,-39.5802777777778
111,Juazeiro,Bahia,Brazil,populated place,S 9° 24′ 42'',W 40° 29′ 55'',-9.41166666666667,-40.4986111111111
112,Vitória da Conquista,Bahia,Brazil,populated place,S 14° 51′ 58'',W 40° 50′ 22'',-14.8661111111111,-40.8394444444444
113,Porto Seguro,Bahia,Brazil,populated place,S 16° 26′ 59'',W 39° 3′ 53'',-16.4497222222222,-39.0647222222222
114,Santo Antônio de Jesus,Bahia,Brazil,populated place,S 12° 58′ 8'',W 39° 15′ 41'',-12.9688888888889,-39.2613888888889
115,Jacobina,Bahia,Brazil,populated place,S 11° 10′ 53'',W 40° 30′ 49'',-11.1813888888889,-40.5136111111111
116,Guanambi,Bahia,Brazil,populated place,S 14° 13′ 24'',W 42° 46′ 53'',-14.2233333333333,-42.7813888888889
117,Paulo Afonso,Bahia,Brazil,populated place,S 9° 24′ 22'',W 38° 12′ 53'',-9.40611111111111,-38.2147222222222
118,Ilhéus/Bahia-Jorge Amado Airport,Bahia,Brazil,airport,S 14° 48′ 57'',W 39° 1′ 53'',-14.8158333333333,-39.0313888888889
119,Caetité,Bahia,Brazil,populated place,S 14° 4′ 10'',W 42° 28′ 30'',-14.0694444444444,-42.475
120,Serrinha,Bahia,Brazil,populated place,S 11° 39′ 51'',W 39° 0′ 27'',-11.6641666666667,-39.0075
121,Candeias,Bahia,Brazil,populated place,S 12° 40′ 4'',W 38° 33′ 2'',-12.6677777777778,-38.5505555555556
122,Itapetinga,Bahia,Brazil,populated place,S 15° 14′ 56'',W 40° 14′ 52'',-15.2488888888889,-40.2477777777778
123,Itamaraju,Bahia,Brazil,populated place,S 17° 2′ 21'',W 39° 31′ 52'',-17.0391666666667,-39.5311111111111
124,Itaberaba,Bahia,Brazil,populated place,S 12° 31′ 39'',W 40° 18′ 25'',-12.5275,-40.3069444444444
125,Ipirá,Bahia,Brazil,populated place,S 12° 9′ 30'',W 39° 44′ 14'',-12.1583333333333,-39.7372222222222
126,Chapada Diamantina Airport,Bahia,Brazil,airport,S 12° 28′ 56'',W 41° 16′ 37'',-12.4822222222222,-41.2769444444444
127,Barra,Bahia,Brazil,airport,S 11° 4′ 50'',W 43° 8′ 51'',-11.0805555555556,-43.1475
128,Porto Seguro,Bahia,Brazil,airport,S 16° 26′ 19'',W 39° 4′ 51'',-16.4386111111111,-39.0808333333333
129,Paulo Afonso,Bahia,Brazil,airport,S 9° 24′ 3'',W 38° 15′ 2'',-9.40083333333333,-38.2505555555556
130,Barra Grande Airport,Bahia,Brazil,airport,S 13° 54′ 18'',W 38° 55′ 59'',-13.905,-38.9330555555556
131,Mucugê Airport,Bahia,Brazil,airport,S 13° 1′ 55'',W 41° 26′ 43'',-13.0319444444444,-41.4452777777778
132,Deputado Luís Eduardo Magalhães International Airport,Bahia,Brazil,airport,S 12° 54′ 39'',W 38° 19′ 51'',-12.9108333333333,-38.3308333333333
133,Santo Amaro,Bahia,Brazil,populated place,S 12° 32′ 48'',W 38° 42′ 43'',-12.5466666666667,-38.7119444444445
134,Ribeira do Pombal,Bahia,Brazil,populated place,S 10° 50′ 4'',W 38° 32′ 9'',-10.8344444444444,-38.5358333333333
135,Campo Formoso,Bahia,Brazil,populated place,S 10° 30′ 27'',W 40° 19′ 17'',-10.5075,-40.3213888888889
136,Brumado,Bahia,Brazil,populated place,S 14° 12′ 13'',W 41° 39′ 55'',-14.2036111111111,-41.6652777777778
137,Bom Jesus da Lapa,Bahia,Brazil,populated place,S 13° 15′ 18'',W 43° 25′ 5'',-13.255,-43.4180555555556
138,Barra,Bahia,Brazil,populated place,S 11° 5′ 22'',W 43° 8′ 30'',-11.0894444444444,-43.1416666666667
139,Tucano,Bahia,Brazil,populated place,S 10° 57′ 29'',W 38° 47′ 27'',-10.9580555555556,-38.7908333333333
140,Senhor do Bonfim,Bahia,Brazil,populated place,S 10° 27′ 41'',W 40° 11′ 22'',-10.4613888888889,-40.1894444444444
141,Monte Santo,Bahia,Brazil,populated place,S 10° 26′ 16'',W 39° 19′ 58'',-10.4377777777778,-39.3327777777778
142,Dias d'Ávila,Bahia,Brazil,populated place,S 12° 36′ 45'',W 38° 17′ 49'',-12.6125,-38.2969444444444
143,Cruz das Almas,Bahia,Brazil,populated place,S 12° 40′ 12'',W 39° 6′ 7'',-12.67,-39.1019444444445
144,Conceição do Coité,Bahia,Brazil,populated place,S 11° 33′ 50'',W 39° 16′ 58'',-11.5638888888889,-39.2827777777778
145,Gandu,Bahia,Brazil,populated place,S 13° 44′ 38'',W 39° 29′ 12'',-13.7438888888889,-39.4866666666667
146,Una-Comandatuba Airport,Bahia,Brazil,airport,S 15° 21′ 26'',W 38° 59′ 53'',-15.3572222222222,-38.9980555555556
147,Barreiras Airport,Bahia,Brazil,airport,S 12° 4′ 44'',W 45° 0′ 32'',-12.0788888888889,-45.0088888888889
148,Guanambi Airport,Bahia,Brazil,airport,S 14° 12′ 29'',W 42° 44′ 46'',-14.2080555555556,-42.7461111111111
149,Valença Airport,Bahia,Brazil,airport,S 13° 17′ 47'',W 38° 59′ 32'',-13.2963888888889,-38.9922222222222
150,Ufa,Bashkortostan,Russia,seat of a first-order administrative division,N 54° 44′ 35'',E 55° 58′ 4'',54.7430555555556,55.9677777777778
151,Bashkortostan Republic,Bashkortostan,Russia,first-order administrative division,N 54° 16′ 0'',E 56° 31′ 30'',54.2666666666667,56.525
152,Neftekamsk,Bashkortostan,Russia,seat of a second-order administrative division,N 56° 5′ 19'',E 54° 15′ 49'',56.0886111111111,54.2636111111111
153,Oktyabrsky,Bashkortostan,Russia,populated place,N 54° 28′ 53'',E 53° 28′ 15'',54.4813888888889,53.4708333333333
154,Salavat,Bashkortostan,Russia,seat of a second-order administrative division,N 53° 22′ 58'',E 55° 54′ 39'',53.3827777777778,55.9108333333333
155,Sterlitamak,Bashkortostan,Russia,seat of a second-order administrative division,N 53° 38′ 16'',E 55° 57′ 11'',53.6377777777778,55.9530555555556
156,Meleuz,Bashkortostan,Russia,populated place,N 52° 57′ 52'',E 55° 55′ 58'',52.9644444444444,55.9327777777778
157,Ishimbay,Bashkortostan,Russia,seat of a second-order administrative division,N 53° 26′ 51'',E 56° 2′ 19'',53.4475,56.0386111111111
158,Beloretsk,Bashkortostan,Russia,seat of a second-order administrative division,N 53° 57′ 43'',E 58° 23′ 59'',53.9619444444445,58.3997222222222
159,Belebey,Bashkortostan,Russia,seat of a second-order administrative division,N 54° 6′ 27'',E 54° 7′ 2'',54.1075,54.1172222222222
160,Tuymazy,Bashkortostan,Russia,seat of a second-order administrative division,N 54° 36′ 23'',E 53° 42′ 42'',54.6063888888889,53.7116666666667
161,Kumertau,Bashkortostan,Russia,seat of a second-order administrative division,N 52° 45′ 53'',E 55° 47′ 16'',52.7647222222222,55.7877777777778
162,Blagoveshchensk,Bashkortostan,Russia,seat of a second-order administrative division,N 55° 2′ 6'',E 55° 58′ 37'',55.035,55.9769444444445
163,Birsk,Bashkortostan,Russia,seat of a second-order administrative division,N 55° 25′ 12'',E 55° 32′ 31'',55.42,55.5419444444444
164,Sibay,Bashkortostan,Russia,seat of a second-order administrative division,N 52° 43′ 4'',E 58° 40′ 0'',52.7177777777778,58.6666666666667
165,Davlekanovo,Bashkortostan,Russia,seat of a second-order administrative division,N 54° 13′ 3'',E 55° 1′ 50'',54.2175,55.0305555555556
166,Dyurtyuli,Bashkortostan,Russia,seat of a second-order administrative division,N 55° 29′ 14'',E 54° 51′ 42'',55.4872222222222,54.8616666666667
167,Agidel,Bashkortostan,Russia,seat of a second-order administrative division,N 55° 54′ 31'',E 53° 56′ 3'',55.9086111111111,53.9341666666667
168,Magnitogorsk International Airport,Bashkortostan,Russia,airport,N 53° 23′ 35'',E 58° 45′ 20'',53.3930555555556,58.7555555555556
169,Neftekamsk Airport,Bashkortostan,Russia,airport,N 56° 6′ 24'',E 54° 20′ 49'',56.1066666666667,54.3469444444444
170,Oktyabrskiy Airport,Bashkortostan,Russia,airport,N 54° 26′ 24'',E 53° 23′ 17'',54.44,53.3880555555556
171,Ufa International Airport,Bashkortostan,Russia,airport,N 54° 33′ 49'',E 55° 52′ 49'',54.5636111111111,55.8802777777778
172,Boyanda,Bashkortostan,Russia,area,N 53° 57′ 38'',E 56° 33′ 57'',53.9605555555556,56.5658333333333
173,Ilishevo,Bashkortostan,Russia,populated place,N 55° 37′ 52'',E 54° 11′ 48'',55.6311111111111,54.1966666666667
174,Bashkiriya,Bashkortostan,Russia,region,N 54° 0′ 0'',E 56° 0′ 0'',54,56
175,Rayevskiy,Bashkortostan,Russia,seat of a second-order administrative division,N 54° 3′ 50'',E 54° 56′ 1'',54.0638888888889,54.9336111111111
176,Yanaul,Bashkortostan,Russia,seat of a second-order administrative division,N 56° 16′ 20'',E 54° 55′ 46'',56.2722222222222,54.9294444444444
177,Uchaly,Bashkortostan,Russia,populated place,N 54° 21′ 29'',E 59° 26′ 10'',54.3580555555556,59.4361111111111
178,Kushnarenkovo,Bashkortostan,Russia,populated place,N 55° 6′ 18'',E 55° 21′ 3'',55.105,55.3508333333333
179,Krasnogorskiy,Bashkortostan,Russia,populated place,N 53° 5′ 57'',E 56° 0′ 10'',53.0991666666667,56.0027777777778
180,Beloretsk Airport,Bashkortostan,Russia,airport,N 53° 56′ 17'',E 58° 20′ 24'',53.9380555555556,58.34
181,Meleuzovsky District,Bashkortostan,Russia,second-order administrative division,N 53° 2′ 21'',E 56° 11′ 17'',53.0391666666667,56.1880555555556
182,Mechetlinsky District,Bashkortostan,Russia,second-order administrative division,N 55° 54′ 34'',E 58° 19′ 56'',55.9094444444444,58.3322222222222
183,Burzyansky District,Bashkortostan,Russia,second-order administrative division,N 53° 10′ 48'',E 57° 28′ 10'',53.18,57.4694444444445
184,Buribay,Bashkortostan,Russia,populated place,N 51° 57′ 42'',E 58° 9′ 33'',51.9616666666667,58.1591666666667
185,Burayevsky District,Bashkortostan,Russia,second-order administrative division,N 55° 47′ 48'',E 55° 22′ 30'',55.7966666666667,55.375
186,Iglinsky District,Bashkortostan,Russia,second-order administrative division,N 54° 50′ 26'',E 56° 46′ 12'',54.8405555555556,56.77
187,Iglino,Bashkortostan,Russia,seat of a second-order administrative division,N 54° 49′ 36'',E 56° 24′ 43'',54.8266666666667,56.4119444444444
188,Ishimbaysky District,Bashkortostan,Russia,second-order administrative division,N 53° 28′ 40'',E 56° 31′ 23'',53.4777777777778,56.5230555555556
189,Ilishevsky District,Bashkortostan,Russia,second-order administrative division,N 55° 29′ 8'',E 54° 18′ 24'',55.4855555555556,54.3066666666667
190,Urochishche Lukanovka,Bashkortostan,Russia,area,N 55° 48′ 30'',E 58° 10′ 38'',55.8083333333333,58.1772222222222
191,Aurgazinsky District,Bashkortostan,Russia,second-order administrative division,N 54° 4′ 9'',E 55° 56′ 6'',54.0691666666667,55.935
192,Askinsky District,Bashkortostan,Russia,second-order administrative division,N 56° 2′ 39'',E 56° 49′ 57'',56.0441666666667,56.8325
193,Arkhangel’skiy Rayon,Bashkortostan,Russia,second-order administrative division,N 54° 29′ 28'',E 56° 55′ 27'',54.4911111111111,56.9241666666667
194,Urochishche Andreyevka,Bashkortostan,Russia,area,N 52° 46′ 0'',E 55° 23′ 54'',52.7666666666667,55.3983333333333
195,Alsheyevsky District,Bashkortostan,Russia,second-order administrative division,N 53° 58′ 46'',E 54° 57′ 41'',53.9794444444445,54.9613888888889
196,Urochishche Alikudra,Bashkortostan,Russia,area,N 55° 17′ 53'',E 57° 8′ 12'',55.2980555555556,57.1366666666667
197,Urochishche Alekseyevskiy,Bashkortostan,Russia,area,N 53° 8′ 50'',E 56° 26′ 36'',53.1472222222222,56.4433333333333
198,Urochishche Alatauayry,Bashkortostan,Russia,area,N 53° 32′ 22'',E 56° 52′ 50'',53.5394444444444,56.8805555555556
199,Akyar,Bashkortostan,Russia,populated place,N 51° 51′ 32'',E 58° 13′ 16'',51.8588888888889,58.2211111111111
200,Belgorod,Belgorod,Russia,seat of a first-order administrative division,N 50° 36′ 12'',E 36° 34′ 51'',50.6033333333333,36.5808333333333
201,Belgorod Oblast,Belgorod,Russia,first-order administrative division,N 50° 50′ 0'',E 37° 32′ 30'',50.8333333333333,37.5416666666667
202,Gubkin,Belgorod,Russia,seat of a second-order administrative division,N 51° 17′ 1'',E 37° 32′ 6'',51.2836111111111,37.535
